obs	floron	Latijnse naam	
6329	1650	Abutilon theophrasti	
6330	1	Acer campestre	
6331	5001	Acer negundo	
6332	1850	Acer platanoides	
6333	2	Acer pseudoplatanus	
6310	4	Achillea millefolium	
6311	5	Achillea ptarmica	
6312	7	Acorus calamus	
2319	8	Actaea spicata	
6317	10	Adoxa moschatellina	
6318	11	Aegopodium podagraria	
6319	1851	Aesculus hippocastanum	
6320	12	Aethusa cynapium	
2321	13	Agrimonia eupatoria	
2322	14	Agrimonia procera	
6321	1544	Agrostis canina	
6322	19	Agrostis capillaris	
6324	17	Agrostis gigantea	
6334	18	Agrostis stolonifera	
6335	1545	Agrostis vinealis	
6336	5007	Ailanthus altissima	
6337	20	Aira caryophyllea	
6338	21	Aira praecox	
6341	24	Ajuga reptans	
18918	6016	Alchemilla s.l.	
6344	26	Alisma gramineum	
6345	27	Alisma lanceolatum	
6346	28	Alisma plantago-aquatica	
6347	29	Alliaria petiolata	
2332	31	Allium oleraceum	
6352	32	Allium schoenoprasum	
6353	33	Allium scorodoprasum	
6355	34	Allium ursinum	
6356	35	Allium vineale	
6359	36	Alnus glutinosa	
6360	37	Alnus incana	
6361	38	Alopecurus aequalis	
6362	40	Alopecurus geniculatis	
6363	41	Alopecurus myosuroides	
6364	42	Alopecurus pratensis	
2334	43	Althaea officinalis	
6368	46	Amaranthus blitum	
18812	1652	Amaranthus hybridus	
6422	47	Amarantus retroflexus	
6366	1651	Amarathus alba	
6424	48	Ambrosia artemisifolia	
6408	1654	Ambrosia psilostachya	
6410	1852	Amelanchier lamarckii	
6413	50	Ammophila arenaria	
6414	1658	Amsinckia micrantha	
2653	889	Anacamptis morio	
2336	51	Anacamptis pyramidalis	
114419	52	Anagallis arvensis arvensis	
2339	53	Anagallis tenella	
6416	779	Anchusa arvensis	
6418	54	Anchusa officinalis	
2340	55	Andromeda polifolia	
6427	56	Anemone nemerosa	
6428	58	Anemone ranunculoides	
6430	59	Angelica archangelica	
6431	60	Angelica sylvestris	
6432	165	Anisantha sterilis	
6433	166	Anisantha tectorum	
2342	62	Anthemis arvensis	
2343	63	Anthemis cotula	
6435	64	Anthemis tinctoria	
2345	67	Anthoxanthum aristatum	
6436	66	Anthoxanthum odoratum	
6437	68	Anthriscus caucalis	
6439	70	Anthriscus sylvestris	
2346	71	Anthyllis vulneraria	
6440	5018	Antirrhinum majus	
6444	73	Apera spica-venti	
2347	74	Aphanes arvensis	
6445	75	Aphanes australis	
2348	76	Apium graveolens	
2349	77	Apium inundatum	
6442	78	Apium nodiflorum	
6443	80	Aquilegia vulgaris	
6304	206	Arabidopsis arenosa	
6303	81	Arabidopsis thaliana	
2351	1315	Arabis glabra	
6305	82	Arabis hirsuta hirsuta	
6306	83	Arctium lappa	
6307	2457	Arctium minus	
6309	87	Arctium tomentosum	
6395	89	Arenaria serpyllifolia	
197080	2334	Arenaria serpyllifolia+ leptoclados	
6371	90	Aristolochia clematitis	
2354	91	Armeria maritima	
18347	92	Armoracia rusticana	
2355	93	Arnica montana	
2356	94	Arnoseris minima	
10071	1965	Aronia x prunifolia	
8347	96	Arrhenatherum elatius	
124178	96	Arrhenatherum elatius	sub. elatius
2357	97	Artemisia absinthium	
6373	1663	Artemisia biennis	
2746	100	Artemisia maritima	
26509	2392	Artemisia s.l.	
6376	101	Artemisia vulgaris	
6377	102	Arum italicum	
6378	103	Arum maculatum	
6381	104	Asparagus officinalis	
6384	111	Asplenium adiantum-nigrum	
